location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,aged_65_older,gdp_per_capita,cardiovasc_death_rate,population
Ireland,Apr-21,7281321,13016,144297,216,1449564.891,2591.223,28726.636,43,417.84,2020058.79,3793.77,150693240
Ireland,Apr-22,44894621,57687,207858,334,8937618.105,11484.327,41380.355,66.495,417.84,2020058.79,3793.77,150693240
Ireland,May-20,730677,4378,46680,422,145463.127,871.571,9293.051,84.012,431.768,2087394.083,3920.229,155716348
Ireland,May-21,7927938,13173,152882,41,1578293.359,2622.481,30435.738,8.162,431.768,2087394.083,3920.229,155716348
Ireland,May-22,47748215,44520,223397,217,9505711.411,8863.039,44473.862,43.199,431.768,2087394.083,3920.229,155716348
Ireland,Jun-20,758939,483,51089,86,151089.525,96.156,10170.794,17.118,417.84,2020058.79,3793.77,150693240
Ireland,Jun-21,8023834,9888,148851,57,1597384.327,1968.499,29633.25,11.348,417.84,2020058.79,3793.77,150693240
Ireland,Jun-22,47316334,38982,222954,195,9419732.563,7760.534,44385.669,38.82,417.84,2020058.79,3793.77,150693240
Ireland,Jul-20,797096,592,54277,32,158685.817,117.857,10805.462,6.369,431.768,2087394.083,3920.229,155716348
Ireland,Jul-21,8804984,29068,155490,37,1752895.62,5786.858,30954.939,7.366,431.768,2087394.083,3920.229,155716348
Ireland,Jul-22,50403745,43552,234959,176,10034374.14,8670.328,46775.613,35.038,431.768,2087394.083,3920.229,155716348
Ireland,Aug-20,847681,2746,54960,14,168756.275,546.673,10941.436,2.786,431.768,2087394.083,3920.229,155716348
Ireland,Aug-21,10121549,51471,156988,57,2014997.287,10246.844,31253.158,11.347,431.768,2087394.083,3920.229,155716348
Ireland,Aug-22,51196458,12790,240504,164,10192187.39,2546.233,47879.516,32.649,431.768,2087394.083,3920.229,155716348
Ireland,Sep-20,958194,7344,53636,27,190757.196,1462.043,10677.85,5.373,417.84,2020058.79,3793.77,150693240
Ireland,Sep-21,11122674,40368,155083,157,2214301.186,8036.459,30873.914,31.255,417.84,2020058.79,3793.77,150693240
Ireland,Sep-22,49804434,6697,236711,103,9915063.339,1333.238,47124.414,20.505,417.84,2020058.79,3793.77,150693240
Isle of Man,Jan-21,12823,57,775,4254.82933,151690.449,674.286,9167.909,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Jan-22,595736,7926,2145,4,7047294.577,93761.089,25374.406,47.319,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Oct-20,10761,13,744,4254.82933,127297.895,153.787,8801.179,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Oct-21,265518,2109,1707,6,3140961.035,24948.541,20193.055,70.978,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Oct-22,1178248,361800.8422,3596,4254.82933,13938155.05,5787.218869,42539.099,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Nov-20,10891,16,742,1,128835.74,189.274,8777.53,11.83,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Nov-21,312082,1648,1896,9,3691792.652,19495.114,22428.85,106.467,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Nov-22,1140240,361800.8422,3480,4254.82933,13488537.15,5787.218869,41166.87,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Dec-20,11538,8,775,4254.82933,136489.459,94.638,9167.909,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Dec-21,396252,2302,2075,1,4687486.693,27231.644,24546.351,11.83,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Dec-22,380080,361800.8422,1160,4254.82933,4496179.05,5787.218869,13722.29,46.89895295,258.3382356,573342.9311,7684.160669,845340
Isle of Man,Feb-21,12498,50,700,4254.82933,147845.839,591.479,8280.692,46.89895295,258.3382356,573342.9311,7684.160669,2366952
Isle of Man,Feb-22,621546,1277,2142,9,7352615.516,15106.348,25338.917,106.466,258.3382356,573342.9311,7684.160669,2366952
Isle of Man,Mar-20,303,60,2043247.52,4254.82933,3584.358,709.774,20981.03037,46.89895295,258.3382356,573342.9311,7684.160669,1014408
Isle of Man,Mar-21,36970,1085,809,4,437338.822,12835.072,9570.119,47.319,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Mar-22,790730,5744,2511,4,9353987.747,67948.99,29704.022,47.319,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Apr-20,7134,255,228,21,84392.077,3016.539,2697.142,248.422,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Apr-21,47330,18,870,4254.82933,559893.063,212.935,10291.71,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Apr-22,913077,3617,2711,18,10801298.89,42787.518,32069.941,212.932,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,May-20,10283,21,727,3,121643.364,248.424,8600.083,35.49,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,May-21,49308,5,899,4254.82933,583291.925,59.149,10634.767,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,May-22,1012103,761,3237,4,11972732.86,9002.296,38292.284,47.319,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Jun-20,10080,361800.8422,720,4254.82933,119241.96,5787.218869,8517.27,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Jun-21,48014,21,870,4254.82933,567984.479,248.423,10291.71,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Jun-22,1010578,3497,3220,2,11954692.79,41367.971,38091.179,23.66,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Jul-20,10416,361800.8422,744,4254.82933,123216.692,5787.218869,8801.179,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Jul-21,80461,2720,899,4254.82933,951818.205,32176.404,10634.767,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Jul-22,1153220,1233,3427,6,13642084.84,14585.846,40539.905,70.978,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Aug-20,10416,361800.8422,744,4254.82933,123216.692,5787.218869,8801.179,46.89895295,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Aug-21,183389,2343,1097,9,2169411.126,27716.659,12977.026,106.468,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Aug-22,1173130,312,3557,2,13877611.36,3690.823,42077.745,23.66,258.3382356,573342.9311,7684.160669,2620554
Isle of Man,Sep-20,10149,4,720,4254.82933,120058.203,47.319,8517.27,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Sep-21,213281,906,1244,13,2523020.324,10717.581,14715.97,153.784,258.3382356,573342.9311,7684.160669,2536020
Isle of Man,Sep-22,1140240,361800.8422,3480,4254.82933,13488537.15,5787.218869,41166.87,46.89895295,258.3382356,573342.9311,7684.160669,2536020
Israel,Jan-21,16729422,220173,124229,1471,1770496.561,23301.196,13147.318,155.676,363.723,1027101.92,2892.92,292919000
Israel,Jan-22,60428899,1516637,259693,562,6395269.235,160507.674,27483.65,59.477,363.723,1027101.92,2892.92,292919000
Israel,Oct-20,9176583,66938,66634,957,971169.752,7084.136,7051.964,101.28,363.723,1027101.92,2892.92,292919000
Israel,Oct-21,40680497,45240,247069,339,4305270.081,4787.809,26147.637,35.876,363.723,1027101.92,2892.92,292919000
Israel,Oct-22,144872129,21881,363549,69,15332006.46,2315.697,38474.866,7.302,363.723,1027101.92,2892.92,292919000
Israel,Nov-20,9755418,22842,82340,311,1032428.62,2417.398,8714.15,32.914,351.99,993969.6,2799.6,283470000
Israel,Nov-21,40127444,17351,244472,96,4246739.762,1836.28,25872.791,10.159,351.99,993969.6,2799.6,283470000
Israel,Nov-22,141035762,37959,354061,97,14925998.73,4017.25,37470.739,10.265,351.99,993969.6,2799.6,283470000
