Country,Time,Annual CO2 emissions (per capita)
Malawi,2018,0.085483655
Malawi,2019,0.084429234
Malawi,2020,0.07594564
Malawi,2021,0.07803988
Malaysia,2015,7.5864425
Malaysia,2016,7.995221
Malaysia,2017,7.762195
Malaysia,2018,8.2436075
Malaysia,2019,8.20496
Malaysia,2020,7.8157063
Malaysia,2021,7.626435
Maldives,2015,3.0113456
Maldives,2016,3.1617982
Maldives,2017,3.202953
Maldives,2018,3.553483
Maldives,2019,3.870847
Maldives,2020,4.006477
Maldives,2021,4.0619364
Mali,2015,0.18056652
Mali,2016,0.17844592
Mali,2017,0.18382406
Mali,2018,0.18433651
Mali,2019,0.187366
Mali,2020,0.18509024
Mali,2021,0.19035652
Malta,2015,3.647275
Malta,2016,2.8999438
Malta,2017,3.1926084
Malta,2018,3.1468256
Malta,2019,3.2745082
Malta,2020,3.103779
Malta,2021,3.273186
Marshall Islands,2015,2.89111
Marshall Islands,2016,2.9552054
Marshall Islands,2017,3.1048217
Marshall Islands,2018,3.185256
Marshall Islands,2019,3.2750838
Marshall Islands,2020,3.5610654
Marshall Islands,2021,3.7781527
Martinique,2015,5.88766
Martinique,2016,6.072144
Martinique,2017,6.037421
Martinique,2018,6.0443625
Martinique,2019,6.235224
Martinique,2020,5.6699557
Martinique,2021,5.6945543
Mauritania,2015,0.7608522
Mauritania,2016,0.6483631
Mauritania,2017,0.82209355
Mauritania,2018,0.8580114
Mauritania,2019,0.8608683
Mauritania,2020,0.8569948
Mauritania,2021,0.8923355
Mauritius,2015,3.255544
Mauritius,2016,3.3584309
Mauritius,2017,3.5034227
Mauritius,2018,3.4847126
Mauritius,2019,3.4879518
Mauritius,2020,3.2426074
Mauritius,2021,3.4426038
Mayotte,2015,1.1774118
Mayotte,2016,1.1545625
Mayotte,2017,1.0919154
Mayotte,2018,1.0418917
Mayotte,2019,1.0255651
Mayotte,2020,0.8942704
Mayotte,2021,0.86475307
Mexico,2015,3.9910128
Mexico,2016,3.9482622
Mexico,2017,3.7904897
Mexico,2018,3.8323855
Mexico,2019,3.7749555
Mexico,2020,3.1088214
Mexico,2021,3.2138007
Moldova,2015,1.4590147
Moldova,2016,1.5204592
Moldova,2017,1.6414043
Moldova,2018,1.7332046
Moldova,2019,1.7657733
Moldova,2020,1.7019565
Moldova,2021,1.8296566
Mongolia,2015,7.853016
Mongolia,2016,8.459694
Mongolia,2017,11.025516
Mongolia,2018,14.32229
Mongolia,2019,14.618863
Mongolia,2020,15.057703
Mongolia,2021,15.029628
Montenegro,2015,3.5312514
Montenegro,2016,3.1822429
Montenegro,2017,3.3254054
Montenegro,2018,3.800595
Montenegro,2019,3.9290168
Montenegro,2020,3.8967185
Montenegro,2021,2.789471
Montserrat,2015,10.812512
Montserrat,2016,5.7384496
Montserrat,2017,6.206225
Montserrat,2018,6.69071
Montserrat,2019,4.8551235
Montserrat,2020,4.1471496
Montserrat,2021,4.659306
Morocco,2015,1.6866901
Morocco,2016,1.6651102
Morocco,2017,1.7302388
Morocco,2018,1.75381
Morocco,2019,1.8897853
Morocco,2020,1.7640363
Morocco,2021,1.9035642
Mozambique,2015,0.23517631
Mozambique,2016,0.29459932
Mozambique,2017,0.24324323
Mozambique,2018,0.2406137
Mozambique,2019,0.23598108
Mozambique,2020,0.21391219
Mozambique,2021,0.2230942
Myanmar,2015,0.42512554
Myanmar,2016,0.40738967
Myanmar,2017,0.4519188
Myanmar,2018,0.66045374
Myanmar,2019,0.6525071
Myanmar,2020,0.67552847
Myanmar,2021,0.67487085
Namibia,2015,1.6871638
Namibia,2016,1.7436866
Namibia,2017,1.7830753
Namibia,2018,1.7271277
Namibia,2019,1.6786424
Namibia,2020,1.5849687
Namibia,2021,1.5867921
Nauru,2015,4.904078
Nauru,2016,4.4749193
Nauru,2017,4.6942263
Nauru,2018,4.599548
Nauru,2019,4.521224
Nauru,2020,4.7010293
Nauru,2021,4.7563233
Nepal,2015,0.25007516
Nepal,2016,0.35033527
